"1-к квартира, 37.6 м2, 5/10 эт.",2600000,69148.94,37.6,"Суконная слобода 5.3 км, ул. 1-я Азинская, ЖК «Новый Горизонт»",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_37.6_m_510_et._1531787386,10.0,   Вчера 15:11  
"2-к квартира, 45 м2, 4/5 эт.",2600000,57777.78,45.0,"Аметьево 900 м, Казань, Республика Татарстан, улица Курчатова, 11",https://www.avito.ru/kazan/kvartiry/2-k_kvartira_45_m_45_et._1244329031,5.0,   Вчера 13:04  
"1-к квартира, 35 м2, 10/18 эт.",2600000,74285.71,35.0,"Горки 2.5 км, пр. Победы, 4 очередь",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_35_m_1018_et._1532795801,18.0,   Вчера 12:52  
"1-к квартира, 37 м2, 7/14 эт.",2600000,70270.27,37.0,"Аметьево 700 м, Республика Татарстан, Казань, улица Латышских Стрелков, 25",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_37_m_714_et._1638591961,14.0,   Вчера 10:19  
"2-к квартира, 42 м2, 5/5 эт.",2610000,62142.86,42.0,"Площадь Тукая 1.3 км, Казань, Республика Татарстан, Авангардная улица, 60к2",https://www.avito.ru/kazan/kvartiry/2-k_kvartira_42_m_55_et._1610838435,5.0,   Вчера 14:53  
"1-к квартира, 39 м2, 9/22 эт.",2613000,67000.0,39.0,"Аметьево 600 м, ул. Гвардейская, 2 очередь",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_39_m_922_et._1417001458,22.0,   Вчера 10:39  
"1-к квартира, 34 м2, 4/5 эт.",2650000,77941.18,34.0,"Аметьево 300 м, Казань, Республика Татарстан, Даурская улица, 9",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_34_m_45_et._1685579773,5.0,   Вчера 21:52  
"2-к квартира, 47 м2, 3/5 эт.",2650000,56382.98,47.0,"Аметьево 1.6 км, Казань, Республика Татарстан, Военный городок-2, 118",https://www.avito.ru/kazan/kvartiry/2-k_kvartira_47_m_35_et._1166525391,5.0,   Вчера 21:22  
"1-к квартира, 36 м2, 2/25 эт.",2660000,73888.89,36.0,"Горки 700 м, ул. Родины, Дом 1",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_36_m_225_et._1132752210,25.0,   Вчера 15:30  
"1-к квартира, 35 м2, 7/9 эт.",2680000,76571.43,35.0,"Проспект Победы 1.1 км, микрорайон Горки-3, Казань, Республика Татарстан, Дубравная улица, 25Б",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_35_m_79_et._1542537489,9.0,   Вчера 15:27  
"1-к квартира, 37.7 м2, 18/19 эт.",2680000,71087.53,37.7,"Горки 500 м, ул. Родины, Дом 1",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_37.7_m_1819_et._1614350295,19.0,   Вчера 11:28  
"2-к квартира, 43 м2, 1/5 эт.",2700000,62790.7,43.0,"Суконная слобода 4.5 км, ул Журналистов, 5",https://www.avito.ru/kazan/kvartiry/2-k_kvartira_43_m_15_et._1674289934,5.0,   Сегодня 08:25  
"1-к квартира, 34.3 м2, 1/9 эт.",2700000,78717.2,34.3,"Проспект Победы 1.3 км, Республика Татарстан, Казань, микрорайон Горки-3, Дубравная улица, 23",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_34.3_m_19_et._1137997628,9.0,   Вчера 16:07  
"1-к квартира, 44.5 м2, 1/5 эт.",2700000,60674.16,44.5,"Аметьево, Полковая (Высокая Гора) 14",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_44.5_m_15_et._1210749519,5.0,   Вчера 12:38  
"1-к квартира, 34 м2, 7/9 эт.",2730000,80294.12,34.0,"Площадь Тукая 1.2 км, Республика Татарстан, Казань, Вахитовский район, улица Татарстан, 52/72",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_34_m_79_et._1510890418,9.0,   Вчера 21:34  
"1-к квартира, 34 м2, 7/9 эт.",2730000,80294.12,34.0,"Площадь Тукая 1.2 км, Республика Татарстан, Казань, Вахитовский район, улица Татарстан, 52/72",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_34_m_79_et._1510890418,9.0,   Вчера 21:34  
